OSM_INIT,OSM_TERM
65369654,65417680
614140923,4178356181
4178884543,413802376
29892674,29892673
29892674,29892673
29892673,30033768
257177775,256997234
1407985684,338840524
415165950,257177775
415165950,65382476
276571244,69396594
415168411,415168376
415168411,415168376
415168411,65382820
415168410,65374814
415168410,415168411
65374814,259586113
65374068,4178356179
65374068,2487368780
3958727205,3958727208
65518197,4178722996
338840749,4184194988
615115468,615115485
615115464,4178791293
65351729,4178710271
65482131,65482129
65482133,4178798710
56037631,56024577
65382820,3958720790
65382820,415168410
273066332,1112512869
690740296,4178809595
415170368,65416067
415170368,689549856
323497482,323497485
323497482,1392020681
323497482,1392020681
323497482,1392020681
323497482,1392020681
323497485,323497258
323497485,65397435
65362731,65382476
65362731,415173903
110354365,1936247390
110354365,110362285
110354365,110362285
690701067,4178791294
110416662,110354340
110362319,110362285
26029880,69396648
323495342,3989756599
413799997,4178818705
413799997,65464808
259586114,615115468
259586114,690701067
4178798721,614141011
4178798720,3053904262
110354344,263645145
110354340,3974580394
110354340,110416653
2388119350,2388119316
3986533328,690701067
614140914,4178798712
413802376,4178884540
413802373,4178884543
413802373,415190811
65417656,689554185
3053906686,689883895
3053906686,615115441
415194041,4178809604
415194041,415194042
415194040,4178892561
415194042,65418216
415194042,4178892563
1642836834,1970807550
1642836834,1970807550
1642836834,65358295
365488703,365488563
2153343874,2153343877
2153343874,615115448
2153343877,690707691
4178791290,615115464
4178791294,65418211
3958687699,415170414
3958687695,3958687694
3958687694,276571753
3958687693,1027112595
3958687691,564637539
615115417,4178722998
615115410,4178722993
257178189,298351714
3958720788,65382820
648467517,65417656
1390562723,3886039812
1390562723,65514293
65471551,4178692272
120592887,65411367
120592887,65411367
514129524,65482131
4184235060,615115451
65418221,4178892554
65382759,262256988
33220315,256997234
33220315,256997234
33220315,256997234
33220315,256997234
33220315,256997234
33220315,689930683
615115425,689949771
4178798718,4178798717
4178798712,4178798711
4178798713,297823202
4178798710,514129524
4178798711,1189785978
4178798714,614140912
4178798715,614140948
65416063,65416065
65416067,3958687700
65416067,415170414
65416065,3958687701
65416065,415170412
323499118,26270951
323499118,26270951
323499118,26270951
323499118,26270951
323499118,26270951
323499118,1390562691
413802384,4178356178
614140942,614140943
614140942,4178809603
614140943,4178798720
614140943,614141011
614140946,4178798718
614140948,4178798714
4178356181,4178356180
4178356182,65482133
3958720792,415168410
3958720793,3958720792
3958720791,615115400
3958720796,415168473
3958720795,3958720788
4184031305,413802384
1027112595,65492831
1027112595,65492831
415187880,4178892551
415187885,65418230
297175178,26270950
297175178,26270950
4178809602,415194042
4178809601,276571931
338840524,338840749
1476574150,4178809602
4178884538,4178884539
4178884539,4178884542
1476573891,4178892567
65433303,4178843281
65433303,4178843281
614141015,65492868
614141011,65482113
614141011,4178772847
614141010,614141040
65470499,250649171
4178718987,615115410
4178718985,415165881
4178718981,615115406
3958727208,615115479
30363887,667491632
4178809597,415168390
4178809596,276571756
4178809595,4178809596
4178809599,276571841
4178809598,4178809597
1407985668,4178843287
415194028,4178892569
65393013,648467343
415170449,415170411
65598535,323494789
415168189,4178818710
564637539,564637538
3958687701,415170368
4178798719,614140946
615115441,65380803
615115441,615115481
615115448,2153343877
615115448,65373686
415168390,65417685
415168390,3958720791
110382343,368397122
65417645,415167886
56024577,2388119350
1447212650,3998036958
1447212650,3998036958
298351714,614141010
65466069,65393447
65466069,65393447
30033768,610809028
30033768,610809028
30033768,263645143
30033768,263645143
56037613,56037619
56037619,56037631
65416384,4178818702
4178818705,415168193
4178818706,65416384
4184029230,3720877643
415190811,65418230
415190811,4178892550
4178818710,415168187
65380803,415168409
65380803,415168409
260921910,65470499
4178892568,65418212
4178710275,415168660
4178710274,415168661
4178710276,65417636
4178710271,65417645
4178710270,415168630
4178710273,415168662
4178710272,415168453
4178772851,689940014
4178809605,65482113
4178809604,614140943
4178809603,1476574150
4178809600,65487139
614140939,615115448
614140939,1914784118
614140938,614140939
614140938,1914784118
4184194988,65433304
4178356177,65400875
4178356178,2487368779
4178356179,537499284
276571753,3958687693
276571752,1129158236
65418216,276571931
65418216,4178809600
690701627,2153343874
34711402,4178892552
4178892549,415187885
1080056454,3953023358
413802357,413802366
537499284,4178356182
689930683,65362731
3958720790,65369654
3998034753,1447212695
415168467,689549864
415186578,415194026
415186578,4178892568
415170411,689564030
415170411,65416065
415170412,415170411
415170412,689562883
415170414,415170413
415170414,259586319
3953023358,323497482
3720877643,4178809598
614141043,4178772848
415168662,4178710274
415168660,4178710277
415168661,4178710275
415168665,65351729
3958727210,3958727211
3958727211,615115481
