<NUMBER OF NODES> 	14478
<NUMBER OF LINKS> 	54838
<END OF METADATA>		


~ 	init 	term 	: 	flow 	cost 	; 
	1 	6152 	: 	0 	4.84691 	; 
	1 	11499 	: 	0 	inf 	; 
	2 	2658 	: 	1966.34 	17.0176 	; 
	2 	4392 	: 	0 	inf 	; 
	2 	12829 	: 	0 	inf 	; 
	2 	12830 	: 	18 	427.36 	; 
	2 	12837 	: 	0 	inf 	; 
	2 	12838 	: 	146 	187.617 	; 
	3 	1188 	: 	0 	inf 	; 
	3 	9597 	: 	0 	22.4627 	; 
	4 	29 	: 	0 	2.60631 	; 
	4 	3964 	: 	0 	inf 	; 
	5 	6262 	: 	0 	inf 	; 
	5 	11458 	: 	3254.03 	5.56598 	; 
	6 	1133 	: 	0 	inf 	; 
	6 	10460 	: 	9129.33 	2.54017 	; 
	6 	12569 	: 	0 	inf 	; 
	6 	12570 	: 	404.667 	194.655 	; 
	7 	3698 	: 	450.667 	5.16847 	; 
	7 	6024 	: 	0 	inf 	; 
	7 	7307 	: 	1916 	10.4563 	; 
	8 	180 	: 	0 	inf 	; 
	8 	5792 	: 	642 	5.07346 	; 
	9 	6072 	: 	0 	inf 	; 
	9 	9096 	: 	14425.3 	2.27778 	; 
	9 	12873 	: 	0 	inf 	; 
	9 	12874 	: 	358.667 	74.7282 	; 
	10 	5311 	: 	0 	inf 	; 
	10 	10449 	: 	0 	inf 	; 
	10 	11400 	: 	22843.3 	126.374 	; 
	10 	13081 	: 	0 	inf 	; 
	10 	13082 	: 	129.333 	187.021 	; 
	10 	13131 	: 	0 	inf 	; 
	10 	13132 	: 	66.6667 	382.372 	; 
	11 	2795 	: 	0 	1.70113 	; 
	11 	8807 	: 	0 	inf 	; 
	12 	3838 	: 	0 	inf 	; 
	12 	5743 	: 	266.457 	3.93068 	; 
	12 	13279 	: 	0 	inf 	; 
	12 	13280 	: 	0 	48.5873 	; 
	13 	15 	: 	0 	inf 	; 
	13 	8569 	: 	11254.7 	31.876 	; 
	13 	13647 	: 	0 	inf 	; 
	13 	13648 	: 	0 	24.8923 	; 
	14 	1173 	: 	16583.3 	42.8615 	; 
	14 	7321 	: 	0 	inf 	; 
	15 	13 	: 	11254.7 	12.9746 	; 
	15 	2972 	: 	5571.38 	14.4492 	; 
	15 	4878 	: 	0 	inf 	; 
	16 	408 	: 	0 	inf 	; 
	16 	9694 	: 	1032 	6.74975 	; 
	17 	1766 	: 	22519 	36.0173 	; 
	17 	4254 	: 	0 	inf 	; 
	17 	12677 	: 	0 	inf 	; 
	17 	12678 	: 	0 	95.4564 	; 
	17 	12729 	: 	0 	inf 	; 
	17 	12730 	: 	0 	108.814 	; 
