city,vmt,vht,delay
Alameda,38047.7451655,1438.8355283,88.5415592525
Albany,43974.8502204,1535.37071378,628.15693794
American Canyon,37040.3632034,1076.78112606,247.626892405
Antioch,136969.034232,11429.4243306,8602.7270994
Atherton,12347.9835262,456.961956458,71.350989841
Belmont,58755.9182746,2099.73399319,901.70383266
Benicia,88216.3192856,2122.58569687,609.88342785
Berkeley,133998.991166,6050.51786008,2396.19521181
Brentwood,51127.3018511,1647.68207641,278.92355299
Brisbane,59619.8385356,1256.14153063,235.599957412
Burlingame,60857.2355747,1711.93781342,391.051986716
Calistoga,4723.54008975,166.329285078,1.91222331193
Campbell,101717.531599,2726.30854715,540.08879874
Capitola,0.0,0.0,0.0
Citrus Heights,0.0,0.0,0.0
Clayton,4336.58962608,138.767824288,31.1476323502
Colma,2568.36058488,98.2944796022,1.27613845804
Concord,185588.675714,5789.89604773,1938.50373364
Corte Madera,42393.7855215,1241.00006788,411.003279783
Cotati,40849.1730117,1726.00732916,769.546763192
Cupertino,128113.286825,3039.30289415,562.972481236
Daly City,134433.421956,3214.07422353,489.439088078
Danville,163963.771372,8086.94157566,5132.69062364
Davis,46.3935298859,0.713744943962,1.0433843254e-07
Dixon,13504.6688637,340.262900566,2.84279265444
Dublin,62634.9454869,2284.86725784,733.87235363
East Palo Alto,32194.3908302,1155.44110804,421.811005729
El Cerrito,21087.9201676,709.023745029,136.864644805
Elk Grove,0.0,0.0,0.0
Emeryville,35733.4684992,1375.58281391,622.42358666
Fairfax,5345.62588867,207.95501267,19.448454626
Fairfield,195316.477643,4761.77135195,784.99708758
Folsom,0.0,0.0,0.0
Foster City,111946.430588,3225.77790336,1263.19033041
Fremont,636842.737507,19850.8858668,7404.337284
Galt,0.0,0.0,0.0
Gilroy,32577.2578128,867.600819457,25.9047399951
Half Moon Bay,13309.8231806,322.369267356,17.1661379317
Hayward,313189.764424,13395.1096864,5779.06637404
Healdsburg,5958.06401193,116.799642028,1.48443211127
Hercules,29082.1990563,874.759862209,354.932323909
Hillsborough,20727.6479861,339.25089543,8.31684439252
Hollister,0.0,0.0,0.0
Isleton,0.0,0.0,0.0
Lafayette,108550.583149,2993.99733804,895.861911185
Larkspur,36956.658619,1538.1887505,712.875159465
Lathrop,612.673727544,8.75246231521,2.24732543937e-06
Livermore,134689.858473,3700.20878701,501.22440023
Lodi,0.0,0.0,0.0
Los Altos,49755.6409924,1320.6575195,110.286787474
Los Altos Hills,50012.6723777,1123.79353213,238.165224529
Los Gatos,54735.2839189,1482.41195408,288.219002144
Manteca,0.0,0.0,0.0
Martinez,76964.2678656,1827.26589101,445.969564465
Menlo Park,126647.079693,4064.90129825,1351.58470728
Mill Valley,8983.7480389,313.362744536,21.0952981129
Millbrae,25966.6759562,652.746881057,91.3095725855
Milpitas,212389.173498,6061.83570244,1745.20271377
Modesto,0.0,0.0,0.0
Monte Sereno,1972.74098867,58.3783158674,0.452671520667
Moraga,3397.30531196,131.562226733,0.938898480922
Morgan Hill,38554.0520809,967.859047978,41.5751135352
Mountain View,181816.141539,4637.40191987,1076.6972729
Napa,75625.4601753,2109.63549238,152.539753307
Newark,57865.0284104,2709.43110458,1238.16867591
Novato,111324.495365,2702.11648747,687.452932903
Oakland,768659.720641,23244.2319015,6551.98747
Oakley,9964.77981516,586.144418719,253.985917124
Orinda,87600.5286894,2921.86343354,1237.16093583
Pacifica,35681.8432997,873.056005417,87.9547669807
Palo Alto,178830.850354,6366.29657922,2245.1296012
Patterson,0.0,0.0,0.0
Petaluma,110608.022884,4226.84503438,1763.29347278
Piedmont,1532.80583906,55.80930353,0.0781052820806
Pinole,57423.1481649,1783.05398483,680.853867595
Pittsburg,90255.9187777,2955.81059722,1134.643506
Pleasant Hill,96117.9068471,2657.42037516,882.882584543
Pleasanton,229952.177665,6581.09093435,1709.37704009
Portola Valley,4147.41889371,124.370467667,10.6966537795
Rancho Cordova,0.0,0.0,0.0
Redwood City,154333.371171,5286.26357555,1814.54394224
Richmond,249178.242903,7505.29284875,2563.97679426
Rio Vista,2868.31504409,57.8445361714,0.00478076763652
Ripon,0.0,0.0,0.0
Rohnert Park,29299.1776058,1058.55569647,462.339354543
Ross,4010.16623227,287.31601785,154.219919682
Sacramento,84.0677463739,1.35952865438,9.42731714957e-08
San Anselmo,10361.2200748,522.163204177,169.559515112
San Bruno,75441.467332,2227.6664153,567.298175286
San Carlos,43014.8576904,1569.09871456,521.035717497
San Francisco,760279.032336,35421.4825459,15805.032171
San Jose,1575633.22151,47084.4783265,11908.6469955
San Juan Bautista,0.0,0.0,0.0
San Leandro,182692.423953,5160.37089439,1394.56454744
San Mateo,192364.882011,5744.26578327,1808.4892823
San Pablo,49314.212557,1666.0816081,612.407147871
San Rafael,139467.495872,5112.15828154,2104.86465551
San Ramon,128492.367958,8041.60942447,5227.92579304
Santa Clara,196222.604881,5353.1467303,740.832434502
Santa Cruz,0.0,0.0,0.0
Santa Rosa,257424.850011,9763.06415876,3092.89332695
Saratoga,57182.5681443,1568.97437883,403.035591369
Sausalito,37203.4339178,1290.8022448,590.841378059
Scotts Valley,0.0,0.0,0.0
Sebastopol,13160.6940364,520.257937183,70.4479661405
Sonoma,23271.9399854,1081.37874158,259.824100075
South San Francisco,77406.1054226,3487.30232396,1690.45133723
St. Helena,8115.25830068,279.736790055,9.22885237684
Stockton,1036.83782168,15.7748130852,-1.23027011666e-06
Sunnyvale,217134.815605,5169.85831082,807.22327903
Tiburon,1861.68001195,62.3889461907,0.0834330824823
Tracy,600.526185839,9.05735621095,-2.10005650421e-06
Union City,109955.868187,3952.14728175,1440.31921783
Vacaville,108704.119437,3009.95560448,444.299020194
Vallejo,165326.979262,4429.72105346,664.187954905
Walnut Creek,196490.974903,6528.71191513,2720.39123435
Watsonville,0.0,0.0,0.0
West Sacramento,33.5018291741,0.515411559346,8.38727822779e-08
Windsor,27060.6735208,502.286529583,71.8500553929
Winters,0.0,0.0,0.0
Woodland,0.0,0.0,0.0
Woodside,56360.5325758,1144.55406398,40.9521181283
Yountville,13829.0365983,424.178026308,10.7222537056
